"","Species","Limb.Width","Limb.Length","Observer","Limb.Volume"
"1","Drosophila suzukii",3.78679351895896,11.5482827137781,"B",130.062033242558
"2","Drosophila virilis",4.02243312622764,11.6782086041609,"C",148.403374111023
"3","Drosophila pseudoobscura",1.91725867329856,11.8041487867474,"B",34.0789322049
"4","Drosophila pseudoobscura",2.53517185709106,10.4522823659241,"C",52.7613409971265
"5","Drosophila pseudoobscura",1.61697186187679,8.64570241879624,"A",17.7539539707345
"6","Drosophila virilis",3.73697128326316,11.9084037125007,"C",130.611961571007
"7","Drosophila subobscura",2.43888307520008,12.5797503547345,"B",58.7683995641935
"8","Drosophila pseudoobscura",3.47602561187061,9.3783254356068,"C",88.9981780325142
"9","Drosophila virilis",1.61289028657488,7.75878435585321,"A",15.8523340578786
"10","Drosophila virilis",1.70679658582803,7.8315238045491,"B",17.9184188679842
"11","Drosophila suzukii",2.886317495586,9.2680445773291,"B",60.6409783146908
"12","Drosophila subobscura",2.93328194049552,11.651602810573,"C",78.7377807304323
"13","Drosophila suzukii",2.44666717945279,8.25671887790807,"C",38.8192528159417
"14","Drosophila subobscura",2.7513924639962,9.67472098426509,"A",57.5219257513229
"15","Drosophila melanogaster",2.76865162567193,8.1854127430864,"B",49.2795904711156
"16","Drosophila pseudoobscura",3.10941128909927,10.6629616319369,"B",80.9699870564502
"17","Drosophila melanogaster",2.79115665315808,7.56933511108969,"A",46.3143995493959
"18","Drosophila suzukii",2.64998356213508,8.82049096209746,"C",48.6484492196558
"19","Drosophila virilis",3.54871446834814,8.30908649051661,"C",82.1836215705099
"20","Drosophila pseudoobscura",3.44699088783834,12.6645425164815,"B",118.184264932328
"21","Drosophila virilis",1.73815023548152,10.5436346093171,"C",25.0181303839689
"22","Drosophila virilis",2.00335389886571,10.3956945630663,"C",32.7686646201031
"23","Drosophila subobscura",1.63586461306603,11.4907584964261,"B",24.1508985836389
"24","Drosophila virilis",1.91631763875019,8.86702140806233,"B",25.5742338794391
"25","Drosophila virilis",3.00377160674119,7.51866063882671,"A",53.2799955593039
"26","Drosophila melanogaster",3.56767348804611,11.595074970328,"C",115.913399913493
"27","Drosophila suzukii",2.2935635761537,10.2296173247321,"A",42.2640231015968
"28","Drosophila virilis",3.00984126792513,6.94313949974819,"A",49.4006834621822
"29","Drosophila pseudoobscura",2.38198413664144,12.1500434094822,"A",54.1433895722904
"30","Drosophila melanogaster",3.37984681669408,7.99997747794366,"C",71.7749139466812
"31","Drosophila pseudoobscura",2.61278664981754,8.39176261856074,"C",44.9936233397699
"32","Drosophila virilis",4.76752763599831,12.6764747124543,"A",226.29492491058
"33","Drosophila suzukii",2.9870780513852,10.4703113520182,"A",73.3740715967077
"34","Drosophila pseudoobscura",3.11409393712433,13.691973550015,"B",104.284400978815
"35","Drosophila pseudoobscura",2.54151102057686,10.4537280045704,"A",53.0328628228053
"36","Drosophila melanogaster",3.29171045900742,8.66578187189918,"B",73.7464109707887
"37","Drosophila melanogaster",2.70816159846786,12.2833008603928,"A",70.7545090406619
"38","Drosophila subobscura",2.90051693959681,11.7072988103465,"A",77.3566042112658
"39","Drosophila suzukii",2.35617939446066,12.4470976231295,"B",54.2718573056644
